Field name,Reservoir unit,Country,Region,Tectonic regime,Onshore/offshore,Hydrocarbon type,Productive area,Period,Depositional system,Depositional environment,Lithology,Porosity type,Gross,Netpay,Porosity,Permeability,Structural setting,Trapping mechanism,Depth
DUNBAR,BRENT,UK,EUROPE,STRIKE-SLIP,OFFSHORE,OIL,33554.95,JURASSIC,COASTAL,MIXED-INFLUENCE DELTA,SANDSTONE,PRIMARY INTERGRANULAR,,,16.0,7.0,RIFT,EROSIONAL,3218.3
DUNE,GRAYBURG,USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,70889.0,PERMIAN,HIGH-ENERGY CARBONATE SAND,HIGH-ENERGY RAMP SAND,DOLOMITE,MICRO-INTERCRYSTALLINE,91.5,24.4,13.0,11.0,FORELAND,FOLD,1006.1
DUNLIN,BRENT,UK,EUROPE,EXTENSION,OFFSHORE,OIL,10981.62,JURASSIC,COASTAL,MIXED-INFLUENCE DELTA,SANDSTONE,PRIMARY INTERGRANULAR,137.2,,23.0,,RIFT,EROSIONAL,2440.5
DURI,BEKASAP (KEDUA-PERTAMA SANDS),INDONESIA,FAR EAST,INVERSION,ONSHORE,OIL,86450.0,NEOGENE,COASTAL,TIDE-DOMINATED DELTA,SANDSTONE,PRIMARY INTERGRANULAR,85.4,45.7,34.0,1500.0,INVERSION,FOLD,122.0
DURI,DURI (RINDU SAND),INDONESIA,FAR EAST,INVERSION,ONSHORE,OIL,86450.0,NEOGENE,COASTAL,TIDE-DOMINATED DELTA,SANDSTONE,PRIMARY INTERGRANULAR,36.6,15.9,32.0,1900.0,INVERSION,FOLD,67.1
DZHIGALYBEG,RED SERIES,TURKMENISTAN,FORMER SOVIET UNION,COMPRESSION,OFFSHORE,OIL,5495.75,NEOGENE,LACUSTRINE,LACUSTRINE RIVER-DELTA,SANDSTONE,PRIMARY INTERGRANULAR,2500.0,79.3,18.0,100.0,THRUST,FOLD,3079.3
EAGLE SPRINGS,GARRETT RANCH,USA,NORTH AMERICA,EXTENSION,ONSHORE,OIL,1580.8,PALEOGENE,VOLCANICS,NOT APPLICABLE,VOLCANICS,FRACTURE,,,15.0,,RIFT,EROSIONAL,1753.0
EAGLE SPRINGS,SHEEP PASS,USA,NORTH AMERICA,EXTENSION,ONSHORE,OIL,1580.8,PALEOGENE,HIGH-ENERGY CARBONATE SAND,LACUSTRINE SAND,DOLOMITE,FRACTURE/BRECCIA,,,16.0,4.0,RIFT,EROSIONAL,1844.5
EAST BREAKS 160,TA SAND,USA,NORTH AMERICA,GRAVITY,OFFSHORE,OIL,647.1400000000001,NEOGENE,DEEP MARINE,SUBMARINE FAN LOBE,SANDSTONE,PRIMARY INTERGRANULAR,,30.2,28.0,,DELTA,FOLD,869.5
EAST CLINTON,RED FORK,USA,NORTH AMERICA,COMPRESSION,ONSHORE,GAS-CONDENSATE,27466.4,CARBONIFEROUS,FLUVIAL,STRAIGHT,SANDSTONE,SECONDARY INTRAGRANULAR,61.0,36.6,10.0,1.0,FORELAND,EROSIONAL,3490.9
EAST CROSSFIELD,WABAMUN (A POOL),CANADA,NORTH AMERICA,COMPRESSION,ONSHORE,GAS,176316.01,DEVONIAN,ORGANIC BUILDUP,MUD-RICH SKELETAL BANK,DOLOMITE,INTERCRYSTALLINE,30.5,20.6,6.1,5.2,FORELAND,DEPOSITIONAL,2347.6
EAST TEXAS,WOODBINE,USA,NORTH AMERICA,GRAVITY,ONSHORE,OIL,321100.0,CRETACEOUS,COASTAL,WAVE-DOMINATED DELTA,SANDSTONE,PRIMARY INTERGRANULAR,15.5,11.3,25.0,2098.0,PASSIVE MARGIN,EROSIONAL,1067.1
EK-BALAM,EK BALAM,MEXICO,LATIN AMERICA,COMPRESSION,OFFSHORE,OIL,26182.0,JURASSIC,DESERT,ERG,SANDSTONE,PRIMARY INTERGRANULAR,,,21.0,400.0,FORELAND,FOLD,3859.8
EKOFISK,TOR-EKOFISK,NORWAY,EUROPE,INVERSION,OFFSHORE,OIL,29887.0,CRETACEOUS-PALEOGENE,FORESLOPE,DEBRIS-FLOW,CHALK,INTERPARTICLE MICROPOROSITY,250.0,179.9,32.0,1.5,SALT,FOLD,2820.1
EKOFISK WEST,TOR-EKOFISK,NORWAY,EUROPE,INVERSION,OFFSHORE,GAS-CONDENSATE,7410.000000000001,CRETACEOUS-PALEOGENE,FORESLOPE,DEBRIS-FLOW,CHALK,INTERPARTICLE MICROPOROSITY,198.2,109.8,30.0,1.5,SALT,FOLD,3009.1
EL BORMA,KIRCHAOU,TUNISIA /ALGERIA,AFRICA,COMPRESSION,ONSHORE,OIL,98800.0,TRIASSIC,FLUVIAL,MEANDERING RIVER,SANDSTONE,PRIMARY INTERGRANULAR,107.6,57.9,17.0,500.0,SUB-SALT,FOLD,2750.6
EL BUNDUQ,ARAB D,QATAR /UAE,MIDDLE EAST,GRAVITY,OFFSHORE,OIL,22971.0,JURASSIC,LOW-ENERGY CARBONATE MUD,RESTRICTED SHELF,LIMESTONE,INTERCRYSTALLINE,,85.4,14.0,,SALT,FOLD,2488.4
EL CARITO-MULATA,NARICUAL,VENEZUELA,LATIN AMERICA,COMPRESSION,ONSHORE,OIL,59813.52,PALEOGENE,COASTAL,MIXED-INFLUENCE DELTA,SANDSTONE,SECONDARY INTERGRANULAR,320.1,,13.0,100.0,THRUST,FOLD,3710.4
EL DORADO,ADMIRE 650 SAND,USA,NORTH AMERICA,INVERSION,ONSHORE,OIL,63479.00000000001,PERMIAN,COASTAL,FLUVIAL-DOMINATED DELTA,SANDSTONE,PRIMARY INTERGRANULAR,12.2,5.5,28.0,240.0,FORELAND,FOLD,152.4
EL FURRIAL,MERECURE (NARICUAL-LOS JABILLOS),VENEZUELA,LATIN AMERICA,COMPRESSION,ONSHORE,OIL,42731.0,PALEOGENE,COASTAL,MIXED-INFLUENCE DELTA,SANDSTONE,SECONDARY INTERGRANULAR,487.8,259.1,15.0,480.0,THRUST,FOLD,3887.2
EL MORGAN,KAREEM,EGYPT,AFRICA,EXTENSION,OFFSHORE,OIL,24700.0,NEOGENE,COASTAL,MARINE FAN-DELTA,SANDSTONE,PRIMARY INTERGRANULAR,,182.9,23.0,420.0,SUB-SALT,FAULT,1629.6
ELDFISK,HOD-TOR-EKOFISK,NORWAY,EUROPE,INVERSION,OFFSHORE,OIL,9880.0,CRETACEOUS-PALEOGENE,FORESLOPE,DEBRIS-FLOW,CHALK,INTERPARTICLE MICROPOROSITY,,122.0,30.0,1.5,SALT,FOLD,2643.3
ELGIN,FULMAR,UK,EUROPE,INVERSION,OFFSHORE,GAS-CONDENSATE,9756.5,JURASSIC,COASTAL,SHOREFACE-SHELF,SANDSTONE,PRIMARY INTERGRANULAR,298.8,230.2,17.0,25.0,SALT,FOLD,5259.1
ELK BASIN,MADISON,USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,12597.0,CARBONIFEROUS,HIGH-ENERGY CARBONATE SAND,HIGH-ENERGY RAMP SAND,DOLOMITE,INTERCRYSTALLINE,237.8,62.5,12.0,7.0,THRUST,FOLD,1326.2
ELK BASIN,TENSLEEP,USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,17290.0,CARBONIFEROUS,DESERT,ERG,SANDSTONE,PRIMARY INTERGRANULAR,76.2,33.5,17.0,150.0,THRUST,FOLD,1219.5
ELK HILLS,STEVENS (26 R SAND),USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,3705.0,NEOGENE,DEEP MARINE,SUBMARINE FAN CHANNEL,SANDSTONE,PRIMARY INTERGRANULAR,,,22.5,,WRENCH,FOLD,1349.1
ELK HILLS,STEVENS (MBB-W31S SANDS),USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,,NEOGENE,DEEP MARINE,SUBMARINE FAN CHANNEL,SANDSTONE,PRIMARY INTERGRANULAR,,,20.0,32.3,WRENCH,FOLD,1158.5
ELK-POCA,ORISKANY,USA,NORTH AMERICA,COMPRESSION,ONSHORE,GAS,407550.00000000006,DEVONIAN,COASTAL,SHOREFACE-SHELF,SANDSTONE,PRIMARY INTERGRANULAR,10.7,3.4,8.0,27.5,FORELAND,DEPOSITIONAL,1478.7
ELKHORN RANCH,MISSION CANYON (MADISON),USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,26923.0,CARBONIFEROUS,LOW-ENERGY CARBONATE MUD,OPEN SHELF,DOLOMITE,INTERCRYSTALLINE,32.0,12.2,16.0,25.0,INTRACRATONIC,FLUIDIC,2782.0
ELLIS RANCH,CLEVELAND,USA,NORTH AMERICA,COMPRESSION,ONSHORE,GAS,141654.5,CARBONIFEROUS,COASTAL,FLUVIAL-DOMINATED DELTA,SHALY SANDSTONE,PRIMARY INTERGRANULAR,45.7,7.9,14.0,0.4,FORELAND,DEPOSITIONAL,1981.7
ELMWORTH-WAPITI,FALHER (SPIRIT RIVER),CANADA,NORTH AMERICA,COMPRESSION,ONSHORE,GAS-CONDENSATE,2964000.0,CRETACEOUS,COASTAL,SHOREFACE-SHELF,SANDSTONE,PRIMARY INTERGRANULAR,167.7,,6.7,1.0,FORELAND,FLUIDIC,1219.5
EMERAUDE,EMERAUDE SILTS-LOANGO-TCHALA,CONGO,AFRICA,GRAVITY,OFFSHORE,OIL,,CRETACEOUS,COASTAL,SHOREFACE-SHELF,SILTSTONE,PRIMARY INTERGRANULAR,,,35.0,,PASSIVE MARGIN,FOLD,140.2
EMMA,ELLENBURGER,USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,19760.0,ORDOVICIAN,LOW-ENERGY CARBONATE MUD,SABKHA,DOLOMITE,BRECCIA,140.2,16.8,3.0,,FORELAND,FOLD,3719.5
EMMA,SAN ANDRES,USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,6175.000000000001,PERMIAN,HIGH-ENERGY CARBONATE SAND,HIGH-ENERGY RAMP SAND,DOLOMITE,INTERPARTICLE/INTERCRYSTALLINE,106.7,12.2,8.0,3.0,FORELAND,FOLD,1275.9
EMPIRE ABO,ABO,USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,22230.0,PERMIAN,ORGANIC BUILDUP,SHELF-,DOLOMITE,VUGGY,91.5,46.0,10.0,50.0,FORELAND,DEPOSITIONAL,1707.3
ENDICOTT,KEKIKTUK,USA,NORTH AMERICA,COMPRESSION,OFFSHORE,OIL,21834.8,CARBONIFEROUS,FLUVIAL,BRAIDED RIVER,SANDSTONE,PRIMARY INTERGRANULAR,243.9,102.7,22.0,1000.0,PASSIVE MARGIN,FAULT,2891.5
ERB WEST,STAGE IVD (N SAND),MALAYSIA,FAR EAST,STRIKE-SLIP,OFFSHORE,OIL,16796.0,NEOGENE,COASTAL,SHOREFACE-SHELF,SANDSTONE,PRIMARY INTERGRANULAR,167.7,42.7,20.0,140.0,WRENCH,FOLD,1843.9
ERSKINE,HEATHER,UK,EUROPE,INVERSION,OFFSHORE,GAS-CONDENSATE,,JURASSIC,DEEP MARINE,SUBMARINE FAN,SANDSTONE,PRIMARY INTERGRANULAR,18.3,15.2,20.0,18.0,RIFT,EROSIONAL,4542.7
ERSKINE,PENTLAND,UK,EUROPE,INVERSION,OFFSHORE,GAS-CONDENSATE,167.21900000000005,JURASSIC,FLUVIAL,MEANDERING RIVER,SANDSTONE,PRIMARY INTERGRANULAR,152.4,45.7,16.0,10.0,RIFT,FAULT,4481.7
ERSKINE,PUFFIN (ERSKINE SANDSTONE),UK,EUROPE,INVERSION,OFFSHORE,GAS-CONDENSATE,167.21900000000005,JURASSIC,COASTAL,SHORELINE,SHALY SANDSTONE,PRIMARY INTERGRANULAR,67.1,64.0,23.0,10.0,RIFT,FAULT,4481.7
ESPOIR,UNNAMED,IVORY COAST,AFRICA,EXTENSION,OFFSHORE,OIL,18302.7,CRETACEOUS,DEEP MARINE,SUBMARINE FAN,SANDSTONE,PRIMARY INTERGRANULAR,228.7,,21.0,,RIFT,EROSIONAL,1598.8
ETAME,DENTALE,GABON,AFRICA,EXTENSION,OFFSHORE,OIL,,CRETACEOUS,FLUVIAL,BRAIDED RIVER,SANDSTONE,PRIMARY INTERGRANULAR,487.8,,26.0,500.0,SUB-SALT,EROSIONAL,
ETAME,GAMBA,GABON,AFRICA,EXTENSION,OFFSHORE,OIL,7410.000000000001,CRETACEOUS,FLUVIAL,BRAIDED RIVER,SANDSTONE,PRIMARY INTERGRANULAR,14.3,11.0,30.0,1550.0,SUB-SALT,FOLD,1704.3
EUGENE ISLAND 330,LENTICULINA 1-TRIMOSINA A,USA,NORTH AMERICA,GRAVITY,OFFSHORE,OIL,8645.0,NEOGENE,COASTAL,FLUVIAL-DOMINATED DELTA,LOW-RESISTIVITY SANDSTONE,PRIMARY INTERGRANULAR,1981.7,61.0,30.0,700.0,DELTA,FOLD,1176.8
EVEREST,FORTIES,UK,EUROPE,EXTENSION,OFFSHORE,GAS-CONDENSATE,44707.0,PALEOGENE,DEEP MARINE,SUBMARINE FAN LOBE,SANDSTONE,PRIMARY INTERGRANULAR,25.9,15.2,22.0,27.0,RIFT,DEPOSITIONAL,2441.5
FAHUD,NATIH,OMAN,MIDDLE EAST,COMPRESSION,ONSHORE,OIL,20748.0,CRETACEOUS,LOW-ENERGY CARBONATE MUD,OPEN SHELF,CHALKY LIMESTONE,CHALKY MICROPOROSITY,426.8,182.9,29.0,,SALT,FAULT,179.9
FAIRWAY,JAMES LIMESTONE,USA,NORTH AMERICA,GRAVITY,ONSHORE,OIL,59280.00000000001,CRETACEOUS,ORGANIC BUILDUP,REEF-RIMMED SKELETAL BANK,LIMESTONE,MOLDIC/VUGGY,45.7,21.3,11.0,25.0,SALT,DEPOSITIONAL,3048.8
FATEH,MISHRIF,UAE,MIDDLE EAST,COMPRESSION,OFFSHORE,OIL,41990.0,CRETACEOUS,ORGANIC BUILDUP,SHELF-,LIMESTONE,VUGGY/MOLDIC,76.2,,20.0,50.0,SALT,EROSIONAL,2359.8
FEDOROV,MEGION (UNIT BC10),RUSSIA,FORMER SOVIET UNION,COMPRESSION,ONSHORE,OIL,5189470.0,CRETACEOUS,COASTAL,SHOREFACE-SHELF,SANDSTONE,PRIMARY INTERGRANULAR,,10.1,24.0,265.0,INTRACRATONIC,FOLD,2273.8
FLOUNDER,LATROBE (T1.1 UNIT),AUSTRALIA,FAR EAST,INVERSION,OFFSHORE,OIL,17092.4,CRETACEOUS,COASTAL,ESTUARY,SANDSTONE,PRIMARY INTERGRANULAR,42.1,38.1,20.0,1200.0,INVERSION,FOLD,2340.5
FOINAVEN,VAILA (T31-T32-T34),UK,EUROPE,INVERSION,OFFSHORE,OIL,22230.0,PALEOGENE,DEEP MARINE,SUBMARINE FAN CHANNEL,SANDSTONE,PRIMARY INTERGRANULAR,250.0,,27.0,800.0,RIFT,FOLD,1515.2
FORD-GERALDINE,BELL CANYON,USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,13041.6,PERMIAN,DEEP MARINE,SUBMARINE FAN CHANNEL,SANDSTONE,PRIMARY INTERGRANULAR,14.3,7.6,21.0,18.0,FORELAND,EROSIONAL,807.9
FORDOCHE,WILCOX,USA,NORTH AMERICA,GRAVITY,ONSHORE,OIL,11856.0,PALEOGENE,COASTAL,SHOREFACE-SHELF,SHALY SANDSTONE,PRIMARY INTERGRANULAR,426.8,,18.0,8.0,DELTA,FOLD,3836.3
FOREST RESERVE,CRUSE-FOREST-MORE L ENFER,TRINIDAD AND TOBAGO,LATIN AMERICA,STRIKE-SLIP,ONSHORE,OIL,12915.63,NEOGENE,COASTAL,FLUVIAL-DOMINATED DELTA,SANDSTONE,PRIMARY INTERGRANULAR,914.6,,31.0,200.0,WRENCH,FOLD,61.0
FORTESCUE,LATROBE,AUSTRALIA,FAR EAST,INVERSION,OFFSHORE,OIL,18920.2,PALEOGENE,COASTAL,STRANDPLAIN,SANDSTONE,PRIMARY INTERGRANULAR,76.2,,20.0,1000.0,RIFT,EROSIONAL,2231.4
FORTIES,FORTIES,UK,EUROPE,INVERSION,OFFSHORE,OIL,56810.00000000001,PALEOGENE,DEEP MARINE,SUBMARINE FAN CHANNEL,SANDSTONE,PRIMARY INTERGRANULAR,169.5,,27.0,700.0,RIFT,FOLD,1923.8
FRANKLIN,FULMAR,UK,EUROPE,INVERSION,OFFSHORE,GAS-CONDENSATE,6713.460000000001,JURASSIC,COASTAL,SHOREFACE-SHELF,SANDSTONE,PRIMARY INTERGRANULAR,298.8,149.4,16.0,10.0,SALT,FAULT,4987.8
FRIENDSWOOD,FRIO,USA,NORTH AMERICA,GRAVITY,ONSHORE,OIL,10336.95,PALEOGENE,COASTAL,MIXED-INFLUENCE DELTA,SANDSTONE,PRIMARY INTERGRANULAR,207.3,118.9,30.7,2350.0,DELTA,FOLD,1681.4
FRIGG,FRIGG,NORWAY /UK,EUROPE,EXTENSION,OFFSHORE,GAS,617500.0,PALEOGENE,DEEP MARINE,SUBMARINE FAN LOBE,SANDSTONE,PRIMARY INTERGRANULAR,,54.9,29.0,1500.0,PASSIVE MARGIN,DEPOSITIONAL,1685.4
FULLERTON,WICHITA-CLEARFORK,USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,72865.0,PERMIAN,LOW-ENERGY CARBONATE MUD,RESTRICTED SHELF,DOLOMITE,INTERCRYSTALLINE,609.8,45.7,10.0,3.0,FORELAND,FOLD,2042.7
FULMAR,FULMAR,UK,EUROPE,EXTENSION,OFFSHORE,OIL,6977.750000000001,JURASSIC,COASTAL,SHOREFACE-SHELF,SANDSTONE,PRIMARY INTERGRANULAR,,137.2,23.0,800.0,SALT,FOLD,2936.0
FUYU,FUYU (QUANTOU),CHINA,FAR EAST,INVERSION,ONSHORE,OIL,51376.00000000001,CRETACEOUS,LACUSTRINE,LACUSTRINE RIVER-DELTA,SANDSTONE,PRIMARY INTERGRANULAR,79.3,10.1,24.0,182.0,INVERSION,FOLD,314.0
GACHSARAN,ASMARI,IRAN,MIDDLE EAST,COMPRESSION,ONSHORE,OIL,350740.0,PALEOGENE-NEOGENE,LOW-ENERGY CARBONATE MUD,RESTRICTED SHELF,DOLOMITIC LIMESTONE,MOLDIC,487.8,,9.0,4.0,FORELAND,FOLD,800.9
GAMYSHLDZHA,RED SERIES (HK-1 TO HK-5),TURKMENISTAN,FORMER SOVIET UNION,COMPRESSION,ONSHORE,OIL,21242.0,NEOGENE,FLUVIAL,BRAIDED RIVER,SANDSTONE,PRIMARY INTERGRANULAR,548.8,48.8,20.0,125.0,FORELAND,FOLD,2770.7
GANDHAR,ANKLESHWAR (HAZAD),INDIA,FAR EAST,INVERSION,ONSHORE,OIL,145730.0,PALEOGENE,COASTAL,MIXED-INFLUENCE DELTA,SANDSTONE,PRIMARY INTERGRANULAR,179.9,,20.0,300.0,RIFT,DEPOSITIONAL,2700.6
GANGDONG,GUANTAO-MINGHUAZHEN,CHINA,FAR EAST,EXTENSION,ONSHORE,OIL,14474.2,NEOGENE,FLUVIAL,MEANDERING RIVER,SANDSTONE,PRIMARY INTERGRANULAR,,20.1,32.0,1015.0,RIFT,FOLD,1032.3
GANNET,FORTIES (GANNET B),UK,EUROPE,GRAVITY,OFFSHORE,GAS-CONDENSATE,3087.5,PALEOGENE,DEEP MARINE,SUBMARINE FAN CHANNEL,SANDSTONE,PRIMARY INTERGRANULAR,91.5,,28.0,200.0,SALT,FOLD,1870.7
GANNET,FORTIES (GANNET C),UK,EUROPE,GRAVITY,OFFSHORE,OIL,1852.5,PALEOGENE,DEEP MARINE,SUBMARINE FAN CHANNEL,SANDSTONE,PRIMARY INTERGRANULAR,182.9,,28.0,200.0,SALT,FOLD,1671.6
GANNET,FORTIES (GANNET E),UK,EUROPE,GRAVITY,OFFSHORE,OIL,1852.5,PALEOGENE,DEEP MARINE,SUBMARINE FAN CHANNEL,SANDSTONE,PRIMARY INTERGRANULAR,152.4,,28.0,700.0,SALT,FOLD,1597.0
GANNET,TAY (GANNET A),UK,EUROPE,GRAVITY,OFFSHORE,OIL,7410.000000000001,PALEOGENE,DEEP MARINE,SUBMARINE FAN CHANNEL,SANDSTONE,PRIMARY INTERGRANULAR,51.8,,30.0,1000.0,SALT,FOLD,2084.8
GANNET,TAY (GANNET F),UK,EUROPE,GRAVITY,OFFSHORE,OIL,4940.0,PALEOGENE,DEEP MARINE,SUBMARINE FAN CHANNEL,SANDSTONE,PRIMARY INTERGRANULAR,,,29.0,,SALT,FOLD,1871.3
GAROUPA,MACAE (QUISSAMA),BRAZIL,LATIN AMERICA,GRAVITY,OFFSHORE,OIL,9484.8,CRETACEOUS,HIGH-ENERGY CARBONATE SAND,SHELF-,LIMESTONE,MOLDIC,130.2,48.8,19.0,175.0,SALT,FOLD,3038.7
GARRINGTON,CARDIUM (A SAND),CANADA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,94287.31,CRETACEOUS,COASTAL,SHOREFACE-SHELF,SANDSTONE,PRIMARY INTERGRANULAR,91.5,0.6,12.0,7.0,FORELAND,DEPOSITIONAL,1646.3
GARRINGTON,CARDIUM (B SAND),CANADA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,94198.39,CRETACEOUS,COASTAL,SHOREFACE-SHELF,SANDSTONE,PRIMARY INTERGRANULAR,91.5,0.9,13.3,43.2,FORELAND,DEPOSITIONAL,1676.8
GARZAN,GARZAN,TURKEY,MIDDLE EAST,COMPRESSION,ONSHORE,OIL,5372.25,CRETACEOUS,ORGANIC BUILDUP,REEF MOUND,LIMESTONE,INTERPARTICLE,100.6,,15.5,12.0,THRUST,FOLD,1240.2
GASIKULE,LOWER GANCHAIGOU,CHINA,FAR EAST,COMPRESSION,ONSHORE,OIL,23613.2,PALEOGENE,LACUSTRINE,LACUSTRINE RIVER-DELTA,SANDSTONE,SECONDARY INTERGRANULAR,245.1,28.4,14.0,48.0,THRUST,FOLD,3179.0
GASIKULE,UPPER GANCHAIGOU-LOWER YOUSHAS,CHINA,FAR EAST,COMPRESSION,ONSHORE,OIL,7879.3,NEOGENE,LACUSTRINE,LACUSTRINE RIVER-DELTA,SANDSTONE,PRIMARY INTERGRANULAR,1000.3,24.7,19.0,102.0,THRUST,FOLD,1280.2
GELA,TAORMINA,ITALY,EUROPE,COMPRESSION,ONSHORE-OFFSHORE,OIL,23712.0,TRIASSIC,LOW-ENERGY CARBONATE MUD,SABKHA,DOLOMITE,VUGGY/CAVERNOUS,,,3.5,,WRENCH,FOLD,3100.6
GENESIS,N1-N3,USA,NORTH AMERICA,GRAVITY,OFFSHORE,OIL,11065.6,NEOGENE,DEEP MARINE,SUBMARINE FAN CHANNEL,SANDSTONE,PRIMARY INTERGRANULAR,122.0,76.2,32.0,800.0,DELTA,FAULT,2628.0
GHAWAR,ARAB D,SAUDI ARABIA,MIDDLE EAST,COMPRESSION,ONSHORE,OIL,328510.0,JURASSIC,HIGH-ENERGY CARBONATE SAND,HIGH-ENERGY RAMP SAND,LIMESTONE,INTERPARTICLE,91.5,,16.0,1000.0,FORELAND,FOLD,1783.5
GHAWAR,JAUF,SAUDI ARABIA,MIDDLE EAST,COMPRESSION,ONSHORE,GAS-CONDENSATE,,DEVONIAN,COASTAL,SHORELINE,LOW-RESISTIVITY SANDSTONE,PRIMARY INTERGRANULAR,112.8,54.0,12.0,,FORELAND,FOLD,3567.1
GHAWAR,KHUFF-C,SAUDI ARABIA,MIDDLE EAST,COMPRESSION,ONSHORE,GAS,,PERMIAN,LOW-ENERGY CARBONATE MUD,SABKHA,LIMESTONE,MOLDIC,76.2,,,,FORELAND,FOLD,3323.2
GIDDINGS,AUSTIN CHALK,USA,NORTH AMERICA,GRAVITY,ONSHORE,OIL,1580800.0,CRETACEOUS,LOW-ENERGY CARBONATE MUD,OPEN SHELF,CHALK,INTERPARTICLE MICROPOROSITY,152.4,,5.0,0.0,PASSIVE MARGIN,DIAGENETIC,1981.7
GIDGEALPA,HUTTON,AUSTRALIA,FAR EAST,INVERSION,ONSHORE,OIL,41990.0,JURASSIC,FLUVIAL,BRAIDED RIVER,SANDSTONE,PRIMARY INTERGRANULAR,182.9,15.2,18.0,1000.0,INTRACRATONIC,FOLD,1643.9
GIDGEALPA,TOOLACHEE,AUSTRALIA,FAR EAST,INVERSION,ONSHORE,GAS,11115.0,PERMIAN,FLUVIAL,BRAIDED RIVER,SANDSTONE,PRIMARY INTERGRANULAR,47.3,,14.0,53.0,INTRACRATONIC,FOLD,2162.2
GILLIS-ENGLISH BAYOU,LOWER HACKBERRY (FRIO),USA,NORTH AMERICA,GRAVITY,ONSHORE,GAS-CONDENSATE,1938.95,PALEOGENE,DEEP MARINE,SUBMARINE FAN CHANNEL,SHALY SANDSTONE,PRIMARY INTERGRANULAR,170.7,10.7,29.0,,DELTA,EROSIONAL,2977.4
GIRASSOL,MALEMBO (B SAND SYSTEM),ANGOLA,AFRICA,GRAVITY,OFFSHORE,OIL,30504.5,PALEOGENE,DEEP MARINE,SUBMARINE FAN CHANNEL,SANDSTONE,PRIMARY INTERGRANULAR,240.9,91.5,27.0,4200.0,SALT,EROSIONAL,1057.9
GLENBURN,MISSION CANYON (FROBISHER-ALIDA),USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,29244.8,CARBONIFEROUS,HIGH-ENERGY CARBONATE SAND,HIGH-ENERGY RAMP SAND,LIMESTONE,FENESTRAL,30.5,3.0,17.0,24.0,INTRACRATONIC,DEPOSITIONAL,1475.6
GLENN POOL,GLENN (BARTLESVILLE),USA,NORTH AMERICA,INVERSION,ONSHORE,OIL,67678.0,CARBONIFEROUS,FLUVIAL,STRAIGHT,SANDSTONE,SECONDARY INTRAGRANULAR,33.5,,21.0,100.0,FORELAND,EROSIONAL,423.8
GOBE MAIN,IAGIFU LOWER,PAPUA NEW GUINEA,FAR EAST,COMPRESSION,ONSHORE,OIL,5493.280000000002,JURASSIC,COASTAL,MIXED-INFLUENCE DELTA,SANDSTONE,PRIMARY INTERGRANULAR,54.9,,16.0,1700.0,THRUST,FOLD,2190.5
GOBE SE,IAGIFU UPPER,PAPUA NEW GUINEA,FAR EAST,COMPRESSION,ONSHORE,OIL,10986.56,JURASSIC,COASTAL,MIXED-INFLUENCE DELTA,SANDSTONE,PRIMARY INTERGRANULAR,51.8,,19.0,100.0,THRUST,FOLD,2240.5
GOLDEN LANE MARINE,EL ABRA (ATUN POOL),MEXICO,LATIN AMERICA,COMPRESSION,OFFSHORE,OIL,5557.5,CRETACEOUS,ORGANIC BUILDUP,SHELF-,LIMESTONE,VUGGY/CAVERNOUS,380.2,,18.0,,PASSIVE MARGIN,EROSIONAL,2700.6
GOLDEN LANE NEW,EL ABRA (SANTA AGUEDA FIELD),MEXICO,LATIN AMERICA,COMPRESSION,ONSHORE,OIL,9386.0,CRETACEOUS,ORGANIC BUILDUP,SHELF-,LIMESTONE,VUGGY/CAVERNOUS,,122.0,,,PASSIVE MARGIN,EROSIONAL,1376.5
GOLDEN LANE OLD,EL ABRA (CERRO AZUL-TOTECO-JUAN FELIPE),MEXICO,LATIN AMERICA,COMPRESSION,ONSHORE,OIL,6175.000000000001,CRETACEOUS,ORGANIC BUILDUP,SHELF-,LIMESTONE,VUGGY/CAVERNOUS,,89.9,,,PASSIVE MARGIN,EROSIONAL,500.6
GOLDEN SPIKE,LEDUC,CANADA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,6103.370000000001,DEVONIAN,ORGANIC BUILDUP,REEF-RIMMED SKELETAL BANK,LIMESTONE,INTERPARTICLE/INTRASKELETAL,197.0,146.3,10.0,50.0,FORELAND,DEPOSITIONAL,1631.1
GOODWYN,MUNGAROO,AUSTRALIA,FAR EAST,INVERSION,OFFSHORE,GAS-CONDENSATE,158080.0,TRIASSIC,FLUVIAL,MEANDERING RIVER,SANDSTONE,SECONDARY INTERGRANULAR,1200.3,100.0,18.0,,RIFT,EROSIONAL,2644.8
