Field name,Reservoir unit,Country,Region,Tectonic regime,Onshore/offshore,Hydrocarbon type,Productive area,Period,Depositional system,Depositional environment,Lithology,Porosity type,Gross,Netpay,Porosity,Permeability,Structural setting,Trapping mechanism,Depth
CHENGDONG,GUANTAO,CHINA,FAR EAST,EXTENSION,ONSHORE,OIL,21908.9,NEOGENE,FLUVIAL,MEANDERING RIVER,SANDSTONE,PRIMARY INTERGRANULAR,,13.1,34.0,2526.0,RIFT,FAULT,1086.6
CHICONTEPEC,CHICONTEPEC,MEXICO,LATIN AMERICA,COMPRESSION,ONSHORE,OIL,2272400.0,PALEOGENE,DEEP MARINE,SUBMARINE CANYON,THINLY-BEDDED SANDSTONE,PRIMARY INTERGRANULAR,,149.4,8.0,1.0,FORELAND,EROSIONAL,2155.5
CHINGUETTI,CHINGUETTI,MAURITANIA,AFRICA,EVAPORITE,OFFSHORE,OIL,7410.000000000001,NEOGENE,DEEP MARINE,SUBMARINE FAN CHANNEL,SANDSTONE,PRIMARY INTERGRANULAR,250.0,38.1,27.0,2000.0,PASSIVE MARGIN,FOLD,1189.0
CHOCOLATE BAYOU,FRIO,USA,NORTH AMERICA,GRAVITY,ONSHORE,GAS,29640.0,PALEOGENE,COASTAL,MIXED-INFLUENCE DELTA,SANDSTONE,PRIMARY INTERGRANULAR,1768.3,,25.0,156.0,DELTA,FOLD,2656.4
CINTA,TALANG AKAR (ZONE 3),INDONESIA,FAR EAST,INVERSION,OFFSHORE,OIL,13412.1,PALEOGENE,FLUVIAL,BRAIDED RIVER,SANDSTONE,PRIMARY INTERGRANULAR,61.0,19.8,18.0,505.0,INVERSION,FOLD,878.0
CITRONELLE,RODESSA,USA,NORTH AMERICA,GRAVITY,ONSHORE,OIL,39520.0,CRETACEOUS,FLUVIAL,MEANDERING RIVER,SANDSTONE,PRIMARY INTERGRANULAR,243.9,,13.0,12.0,SALT,FOLD,3109.8
CLAIR,CLAIR,UK,EUROPE,INVERSION,OFFSHORE,OIL,134121.0,DEVONIAN-CARBONIFEROUS,FLUVIAL,BRAIDED RIVER,SANDSTONE,PRIMARY INTERGRANULAR,,,13.5,60.0,RIFT,FAULT,1399.4
CLAYMORE,CLAYMORE SANDSTONE (MAIN AREA),UK,EUROPE,EXTENSION,OFFSHORE,OIL,8657.35,JURASSIC,DEEP MARINE,SUBMARINE FAN CHANNEL,SANDSTONE,PRIMARY INTERGRANULAR,,158.2,21.0,300.0,RIFT,EROSIONAL,2176.5
CLIPPER,LEMAN SANDSTONE,UK,EUROPE,INVERSION,OFFSHORE,GAS,29640.0,PERMIAN,DESERT,ERG,SANDSTONE,PRIMARY INTERGRANULAR,218.0,176.8,11.0,0.5,SUB-SALT,FAULT,2262.2
CLYDE,FULMAR,UK,EUROPE,GRAVITY,OFFSHORE,OIL,7343.31,JURASSIC,COASTAL,SHOREFACE-SHELF,THINLY-BEDDED SANDSTONE,PRIMARY INTERGRANULAR,198.2,118.9,20.0,350.0,SALT,FOLD,3593.6
COALINGA,TEMBLOR,USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,40755.0,NEOGENE,FLUVIAL,BRAIDED RIVER,SHALY SANDSTONE,SECONDARY INTRAGRANULAR,213.4,57.9,34.0,850.0,WRENCH,EROSIONAL,152.4
COGNAC,PLIOCENE SANDS,USA,NORTH AMERICA,GRAVITY,OFFSHORE,OIL,7904.000000000001,NEOGENE,DEEP MARINE,SUBMARINE FAN CHANNEL,SANDSTONE,PRIMARY INTERGRANULAR,1265.2,,29.0,,DELTA,FOLD,1913.1
COLD LAKE,CLEARWATER,CANADA,NORTH AMERICA,COMPRESSION,ONSHORE,BITUMEN,3458000.0,CRETACEOUS,COASTAL,WAVE-DOMINATED DELTA,LOW-RESISTIVITY SANDSTONE,PRIMARY INTERGRANULAR,,24.4,35.0,2500.0,FORELAND,DEPOSITIONAL,350.6
COLD LAKE,GRAND RAPIDS,CANADA,NORTH AMERICA,COMPRESSION,ONSHORE,BITUMEN,9781200.0,CRETACEOUS,COASTAL,WAVE-DOMINATED DELTA,SANDSTONE,PRIMARY INTERGRANULAR,,7.0,34.0,3000.0,FORELAND,DEPOSITIONAL,250.0
COLDWATER,DUNDEE,USA,NORTH AMERICA,STRIKE-SLIP,ONSHORE,OIL,7805.200000000003,DEVONIAN,HIGH-ENERGY CARBONATE SAND,HIGH-ENERGY RAMP SAND,DOLOMITE,VUGGY/CAVERNOUS,41.2,7.6,4.0,,INTRACRATONIC,FOLD,1125.0
COLES LEVEE NORTH,STEVENS (LOWER WESTERN SAND),USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,9139.0,NEOGENE,DEEP MARINE,SUBMARINE FAN CHANNEL,SANDSTONE,PRIMARY INTERGRANULAR,167.7,,18.4,10.0,WRENCH,FOLD,2500.0
CONROE,YEGUA,USA,NORTH AMERICA,GRAVITY,ONSHORE,OIL,48165.00000000001,PALEOGENE,COASTAL,FLUVIAL-DOMINATED DELTA,SANDSTONE,PRIMARY INTERGRANULAR,167.7,,32.0,1400.0,DELTA,FOLD,1460.4
CORMORANT,BRENT,UK,EUROPE,EXTENSION,OFFSHORE,OIL,29640.0,JURASSIC,COASTAL,WAVE-DOMINATED DELTA,SANDSTONE,PRIMARY INTERGRANULAR,91.5,68.6,20.0,500.0,RIFT,EROSIONAL,2347.6
COTTONWOOD CREEK,PHOSPHORIA (ERVAY),USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,44460.0,PERMIAN,LOW-ENERGY CARBONATE MUD,SABKHA,DOLOMITE,VUGGY/FENESTRAL,19.8,6.4,8.0,0.5,FORELAND,DEPOSITIONAL,1432.9
COUNTESS,UPPER MANNVILLE (YY POOL),CANADA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,1635.14,CRETACEOUS,COASTAL,ESTUARY,SANDSTONE,PRIMARY INTERGRANULAR,19.1,5.5,26.0,2500.0,FORELAND,EROSIONAL,1020.4
CRYSTAL (CANADA),VIKING (A POOL),CANADA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,35859.46000000001,CRETACEOUS,COASTAL,ESTUARY,SANDSTONE,PRIMARY INTERGRANULAR,9.8,9.1,10.5,200.0,FORELAND,EROSIONAL,1780.5
CRYSTAL (USA),DUNDEE,USA,NORTH AMERICA,STRIKE-SLIP,ONSHORE,OIL,7410.000000000001,DEVONIAN,HIGH-ENERGY CARBONATE SAND,HIGH-ENERGY RAMP SAND,DOLOMITE,FRACTURE,30.5,7.9,10.0,3.0,INTRACRATONIC,FOLD,969.5
CUSIANA,MIRADOR,COLOMBIA,LATIN AMERICA,COMPRESSION,ONSHORE,OIL,54340.00000000001,PALEOGENE,COASTAL,ESTUARY,SANDSTONE,PRIMARY INTERGRANULAR,122.0,61.0,9.0,100.0,THRUST,FOLD,3963.4
CUT BANK,CUT BANK SANDSTONE,USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,256880.0,CRETACEOUS,FLUVIAL,MEANDERING RIVER,SANDSTONE,PRIMARY INTERGRANULAR,14.3,4.9,13.0,110.0,FORELAND,DEPOSITIONAL,640.2
CYMRIC,MONTEREY (ANTELOPE 1Y POOL),USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,395.2,NEOGENE,DEEP MARINE,MUD-RICH SLOPE,DIATOMITE,MICROPOROSITY,167.7,,58.0,5.0,WRENCH,FOLD,375.0
CYMRIC,TULARE,USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,14820.0,NEOGENE,LACUSTRINE,LACUSTRINE RIVER-DELTA,SANDSTONE,PRIMARY INTERGRANULAR,182.9,61.0,35.0,3000.0,WRENCH,FOLD,304.9
DACION,OFICINA,VENEZUELA,LATIN AMERICA,INVERSION,ONSHORE,OIL,7323.55,NEOGENE,COASTAL,FLUVIAL-DOMINATED DELTA,SANDSTONE,PRIMARY INTERGRANULAR,762.2,,30.0,1500.0,FORELAND,FAULT,1463.4
DAN,CHALK GROUP (TOR-EKOFISK),DENMARK,EUROPE,INVERSION,OFFSHORE,OIL,14820.0,CRETACEOUS-PALEOGENE,FORESLOPE,PELAGIC,CHALK,INTERPARTICLE MICROPOROSITY,152.4,48.8,28.0,1.8,SALT,FOLD,1695.1
DAQING (LAMADIAN),SAERTU-PUTAOHUA-GAOTAIZI,CHINA,FAR EAST,INVERSION,ONSHORE,OIL,61750.00000000001,CRETACEOUS,FLUVIAL,MEANDERING RIVER,THINLY-BEDDED SANDSTONE,PRIMARY INTERGRANULAR,182.9,30.5,26.0,1500.0,INVERSION,FOLD,833.5
