Field name,Reservoir unit,Country,Region,Tectonic regime,Hydrocarbon type,Period,Depositional system,Lithology,Trapping mechanism,Structural setting,Gross,Netpay,Porosity,Permeability,Depth
ZAKUM,THAMAMA ZONE I,UAE,MIDDLE EAST,GRAVITY,OIL,CRETACEOUS,HIGH-ENERGY CARBONATE SAND,LIMESTONE,FOLD,SALT,36.9,15.2,20.0,1.5,1957.3
ZAKUM,THAMAMA ZONE II,UAE,MIDDLE EAST,GRAVITY,OIL,CRETACEOUS,HIGH-ENERGY CARBONATE SAND,LIMESTONE,FOLD,SALT,44.2,42.7,25.0,30.0,2115.9
ZAKUM,THAMAMA ZONE III,UAE,MIDDLE EAST,GRAVITY,OIL,CRETACEOUS,HIGH-ENERGY CARBONATE SAND,LIMESTONE,FOLD,SALT,163.7,33.5,23.0,15.0,2160.1
ZAKUM,THAMAMA ZONE IV,UAE,MIDDLE EAST,GRAVITY,OIL,CRETACEOUS,HIGH-ENERGY CARBONATE SAND,LIMESTONE,FOLD,SALT,44.8,27.4,25.0,60.0,2393.3
ZAOYUAN,KONGDIAN-1 (ZAOBEI BLOCK),CHINA,FAR EAST,EXTENSION,OIL,PALEOGENE,FLUVIAL,SANDSTONE,FAULT,RIFT,70.1,21.0,26.7,1872.0,1641.5
ZAOYUAN,KONGDIAN-1 (ZAONAN BLOCK),CHINA,FAR EAST,EXTENSION,OIL,PALEOGENE,FLUVIAL,SANDSTONE,FAULT,RIFT,210.1,58.5,22.4,126.0,1690.5
ZAOYUAN,KONGDIAN-1 (ZILAITUN BLOCK),CHINA,FAR EAST,EXTENSION,OIL,PALEOGENE,LACUSTRINE,SANDSTONE,FAULT,RIFT,50.0,18.9,23.2,121.0,1439.3
ZAOYUAN,KONGDIAN-2 (FENGHUADIAN BLOCK),CHINA,FAR EAST,EXTENSION,OIL,PALEOGENE,LACUSTRINE,SANDSTONE,FAULT,RIFT,89.9,24.1,21.0,60.0,2310.7
ZAOYUAN,UNNAMED (FENGHUADIAN BLOCK),CHINA,FAR EAST,EXTENSION,OIL,MESOZOIC,VOLCANICS,VOLCANICS,EROSIONAL,RIFT,150.0,59.1,12.7,3.6,3000.9
ZHIRNOV,MELEKESKIAN,RUSSIA,FORMER SOVIET UNION,COMPRESSION,OIL,CARBONIFEROUS,COASTAL,SANDSTONE,FOLD,FORELAND,79.9,10.1,24.0,30.0,570.1
ZHIRNOV,TULIAN B1,RUSSIA,FORMER SOVIET UNION,COMPRESSION,OIL,CARBONIFEROUS,COASTAL,SANDSTONE,FOLD,FORELAND,39.0,13.4,26.0,1000.0,983.2
