Parameter,Strategy,Alg,accuracy
A,HC,D+M,0.37
C,HC,D+M,0.75
H,HC,D+M,0.78
A,HC,M+M,0.37
C,HC,M+M,0.75
H,HC,M+M,0.78
A,HC,D+D,0.36
C,HC,D+D,0.75
H,HC,D+D,0.78
A,HC,M+D,0.37
C,HC,M+D,0.75
H,HC,M+D,0.78
A,evo,D+M,0.37
C,evo,D+M,0.75
H,evo,D+M,0.78
A,evo,M+M,0.37
C,evo,M+M,0.75
H,evo,M+M,0.78
A,evo,D+D,0.37
C,evo,D+D,0.75
H,evo,D+D,0.78
A,evo,M+D,0.37
C,evo,M+D,0.75
H,evo,M+D,0.78
